Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,84.820000,84.830002,83.519997,84.019997,81.231903,5151400
2022-11-04,84.820000,84.889999,83.150002,84.650002,81.840996,5672900
2022-11-07,85.529999,85.839996,84.919998,85.540001,82.701469,5217600
2022-11-08,81.750000,82.180000,79.720001,80.190002,77.528999,12753700
2022-11-09,80.339996,81.489998,79.190002,79.290001,76.658859,7150100
2022-11-10,82.110001,82.199997,81.040001,81.839996,79.124229,9212300
2022-11-11,82.470001,83.650002,81.940002,83.550003,80.777504,8502200
2022-11-14,83.650002,84.690002,82.760002,82.900002,80.149071,6772100
2022-11-15,83.279999,84.260002,82.489998,83.400002,80.632469,6765800
2022-11-16,82.169998,83.269997,81.629997,81.779999,79.066231,8289500
2022-11-17,81.300003,81.300003,79.370003,79.940002,77.287285,8953000
2022-11-18,79.720001,81.629997,79.510002,81.300003,78.602165,9028200
2022-11-21,81.510002,83.440002,81.389999,82.290001,79.559311,8304200
2022-11-22,78.000000,78.279999,76.599998,77.930000,75.343987,17129900
2022-11-23,77.510002,79.230003,77.279999,79.019997,76.397812,9873800
2022-11-25,79.320000,79.720001,78.750000,79.120003,76.494507,4879800
2022-11-28,78.500000,79.099998,75.839996,76.129997,73.603722,11012800
2022-11-29,76.400002,77.160004,75.830002,76.480003,73.942108,8177300
2022-11-30,76.870003,79.070000,76.050003,79.040001,76.417160,10610600
2022-12-01,79.309998,80.160004,78.919998,79.250000,76.620186,7876700
2022-12-02,78.599998,79.699997,78.550003,79.620003,76.977913,6339500
2022-12-05,79.040001,79.419998,78.349998,78.790001,76.175453,8515000
2022-12-06,78.389999,78.750000,76.760002,77.080002,74.522202,7228400
2022-12-07,77.330002,77.660004,76.550003,76.910004,74.357849,6089300
2022-12-08,76.500000,78.169998,76.470001,77.790001,75.208633,5938700
2022-12-09,77.769997,78.919998,77.300003,78.589996,75.982086,6370200
2022-12-12,79.099998,79.730003,78.769997,79.709999,77.064919,5997100
2022-12-13,80.760002,81.239998,79.820000,80.139999,77.480652,11389600
2022-12-14,79.739998,81.190002,78.110001,78.790001,76.175453,9302900
2022-12-15,77.680000,78.680000,77.150002,77.720001,75.140961,9887600
2022-12-16,77.139999,77.580002,75.769997,76.720001,74.174141,17064400
2022-12-19,76.709999,77.209999,76.290001,77.120003,74.560875,9357600
2022-12-20,76.500000,77.089996,76.459999,76.699997,74.814476,8063300
2022-12-21,77.339996,77.970001,76.910004,77.160004,75.263168,6804400
